original_text,encrypted_text
Kde bolo tam bolo Život je krásny Ráno múdrejšie večera,Ohi fsps xeq fsps Imzsx ni ovcwrc Vcrs qbhvinami ziuive
Ráno múdrejšie večera Láska hory prenáša,Krgh fqwkxcpbx oxjxkt Erldt ahkr ikxgrpt
Všetko najlepšie k narodeninám V našej záhrade rastú krásne kvety Príliš žlťučký kôň úpäl ďábelské ódy,Yzhwnr qdmohszlh n qdurghqlqbp Y qdzhm cbkudgh udvwa nubvqh nyhwb Sunolz codxtnd nua aseo vbehovnj tgb
Láska hory prenáša,Pcwoe lsvc tvircae
Láska hory prenáša Všetko najlepšie k narodeninám Ráno múdrejšie večera,Wjdvl szcj acpyjhl Ghpevz yluwpahtp v ylczopytyjx Cjyz xiocpuhtp gpbpcl
V našej záhrade rastú krásne kvety Slovensko je krásna krajina,F xkgot jirbkno bkcdh ubicxo ufodi Cvyfoxcuy to ubicxk ubktsxk
Láska hory prenáša,Qdxpf mtwd uwjsdbf
Dobrý deň prajem V našej záhrade rastú krásne kvety,Lwjzi lmf xzirmu D viemr hgpzilm ziabf szgavm sdmbg
Všetko najlepšie k narodeninám Príliš žlťučký kôň úpäl ďábelské ódy,Efnctx wjsunyfrn t wjaxmnwrwhv Yaturf iujdztj tag gyku bhknubtp zmh
V našej záhrade rastú krásne kvety Všetko najlepšie k narodeninám,J boksx nmvfors foghl yfmgbs yjshm Jkshyc boxzsdkws y bofcrsbwbma
Príliš žlťučký kôň úpäl ďábelské ódy Život je krásny,Kmfgdr ugvplfv fms skwg ntwzgnfb lyt Zdqjo ez fmtnit
Bez práce nie sú koláče Ráno múdrejšie večera Kde bolo tam bolo,Gje uwdhj snj xc ptqdvj Wdst rciwjobnj ajvjwf Pij gtqt yfr gtqt
Všetko najlepšie k narodeninám Ráno múdrejšie večera Dobrý deň prajem,Qrzofj ivegzkrdz f ivmjyzidith Mtij hsymzerdz qzlzmv Yjwmv yzs kmvezh
Dobrý deň prajem,Bmzpy bcv npyhck
Dobrý deň prajem Slovensko je krásna krajina,Xivlu xyr jludyg Mfipyhmei dy elsmhu eludchu
Kde bolo tam bolo Dobrý deň prajem Slovensko je krásna krajina,Uno lyvy dkw lyvy Nylbk noh zbktow Cvyfoxcuy to ubicxk ubktsxk
Slovensko je krásna krajina Príliš žlťučký kôň úpäl ďábelské ódy,Voryhqvnr mh nubvqd nudmlqd Sunolz codxtnd nua aseo vbehovnj tgb
Ráno múdrejšie večera Všetko najlepšie k narodeninám,Ahwx vgmansfrn enznaj Efnctx wjsunyfrn t wjaxmnwrwhv
V našej záhrade rastú krásne kvety Ráno múdrejšie večera,M ernva qpyiruv irjko bipjev bmvkp Ipef douivanzv mvhvir
Život je krásny Bez práce nie sú koláče,Fjwpu kf lsztoz Cfa qszdf ojf ty lpmzrf
Bez práce nie sú koláče,Vyt jlswy hcy mr eifsky
Bez práce nie sú koláče,Wzu kmtxz idz ns fjgtlz
Ráno múdrejšie večera,Xetu sdjxkpcok bkwkxg
Slovensko je krásna krajina Ráno múdrejšie večera Všetko najlepšie k narodeninám,Fybirafxb wr xelfan xenwvan Elab zkqerwjvr irdren Ijrgxb anwyrcjvr x anebqravalz
Ráno múdrejšie večera V našej záhrade rastú krásne kvety Príliš žlťučký kôň úpäl ďábelské ódy,Pwlm kvbpchugc tcocpy T lyuch xwfpybc pyqrv ipwqlc itcrw Npijgu xjysoiy ipv vnzj qwzcjqie obw
Kde bolo tam bolo Slovensko je krásna krajina,Lef cpmp ubn cpmp Tmpwfotlp kf lsztob lsbkjob
Príliš žlťučký kôň úpäl ďábelské ódy Ráno múdrejšie večera,Zbuvsg jvkeauk ubh hzlv cilovcuq ani Bixy whnbotgso foaobk
Bez práce nie sú koláče Príliš žlťučký kôň úpäl ďábelské ódy Kde bolo tam bolo,Ybw movzb kfb pu hlivnb Mohift wixrnhx hou umyi pvybiphd nav Hab ylil qxj ylil
Láska hory prenáša,Pcwoe lsvc tvircae
Život je krásny,Quhaf vq wdkezk
Všetko najlepšie k narodeninám Príliš žlťučký kôň úpäl ďábelské ódy V našej záhrade rastú krásne kvety,Hiqfwa zmvxqbiuq w zmdapqzuzky Bdwxui lxmgcwm wdj jbnx eknqxews cpk H zmiqv lktdmpq dmefj wdkezq whqfk
V našej záhrade rastú krásne kvety Láska hory prenáša Príliš žlťučký kôň úpäl ďábelské ódy,L dqmuz poxhqtu hqijn ahoidu alujo Boiaq xeho fhudomq Fhabym pbqkgaq ahn nfrb iorubiaw gto
Ráno múdrejšie večera Kde bolo tam bolo,Ubqr paguhmzlh yhthud Ngh eror wdp eror
Kde bolo tam bolo Príliš žlťučký kôň úpäl ďábelské ódy,Vop mzwz elx mzwz Acvwth kwlfbvl vci iamw djmpwdvr boj
Život je krásny Príliš žlťučký kôň úpäl ďábelské ódy Slovensko je krásna krajina,Imzsx ni ovcwrc Tvopma dpeyuoe ovb btfp wcfipwok uhc Wpszirwos ni ovcwre ovenmre
Dobrý deň prajem,Lwjzi lmf xzirmu
Ráno múdrejšie večera,Ovkl juaobgtfb sbnbox
Bez práce nie sú koláče Slovensko je krásna krajina Príliš žlťučký kôň úpäl ďábelské ódy,Dgb rtaeg pkg uz mqnasg Unqxgpumq lg mtaupc mtclkpc Rtmnky bncwsmc mtz zrdn uadgnumi sfa
V našej záhrade rastú krásne kvety,Z reain dclvehi vewxb ovcwri ozixc
Kde bolo tam bolo,Dwx uheh mtf uheh
Príliš žlťučký kôň úpäl ďábelské ódy Život je krásny,Yaturf iujdztj tag gyku bhknubtp zmh Nrexc sn tahbwh
Bez práce nie sú koláče,Dgb rtaeg pkg uz mqnasg
Kde bolo tam bolo Život je krásny Láska hory prenáša,Buv sfcf krd sfcf Vzmfk av bipjep Cpjbr yfip givepnr
Kde bolo tam bolo Bez práce nie sú koláče,Buv sfcf krd sfcf Svq giptv ezv jo bfcphv
Život je krásny Bez práce nie sú koláče,Quhaf vq wdkezk Nql bdkoq zuq ej waxkcq
V našej záhrade rastú krásne kvety Všetko najlepšie k narodeninám Príliš žlťučký kôň úpäl ďábelské ódy,B tgckp fenxgjk xgyzd qxeytk qbkze Bckzqu tgprkvcok q tgxujktotes Vxqroc frgawqg qxd dvhr yehkryqm wje
Všetko najlepšie k narodeninám Kde bolo tam bolo,Lmujae dqzbufmyu a dqhetudydoc Atu rebe jqc rebe
Kde bolo tam bolo,Ohi fsps xeq fsps
Príliš žlťučký kôň úpäl ďábelské ódy Láska hory prenáša,Vxqroc frgawqg qxd dvhr yehkryqm wje Reyqg nuxe vxktecg
Kde bolo tam bolo Dobrý deň prajem Bez práce nie sú koláče,Gza xkhk pwi xkhk Zkxnw zat lnwfai Xav lnuya jea ot gkhuma
Kde bolo tam bolo Bez práce nie sú koláče,Yrs pczc hoa pczc Psn dfmqs bws gl yczmes
Všetko najlepšie k narodeninám Ráno múdrejšie večera,Fgoduy xktvozgso u xkbynoxsxiw Bixy whnbotgso foaobk
Dobrý deň prajem,Nylbk noh zbktow
V našej záhrade rastú krásne kvety Slovensko je krásna krajina,N fsowb rqzjsvw jsklp cjqkfw cnwlq Kdgnwfkcg bw cjqkfs cjsbafs
Ráno múdrejšie večera Všetko najlepšie k narodeninám Láska hory prenáša,Ovkl juaobgtfb sbnbox Stbqhl kxgibmtfb h kxolabkfkvj Ivphx elov mobkvtx
Bez práce nie sú koláče Kde bolo tam bolo Všetko najlepšie k narodeninám,Svq giptv ezv jo bfcphv Buv sfcf krd sfcf Mnvkbf eracvgnzv b erifuvezepd
Slovensko je krásna krajina Všetko najlepšie k narodeninám,Cvyfoxcuy to ubicxk ubktsxk Fgoduy xktvozgso u xkbynoxsxiw
Život je krásny Všetko najlepšie k narodeninám Dobrý deň prajem,Mqdwb rm szgavg Dembsw virtmxeqm s vizwlmvqvgu Lwjzi lmf xzirmu
Láska hory prenáša Bez práce nie sú koláče,Xkewm tadk bdqzkim Nql bdkoq zuq ej waxkcq
Láska hory prenáša Všetko najlepšie k narodeninám,Reyqg nuxe vxktecg Bckzqu tgprkvcok q tgxujktotes
Láska hory prenáša Život je krásny V našej záhrade rastú krásne kvety,Huogw dknu lnajusw Aerkp fa gnuoju R jwsaf vudnwza nwopt gnuoja grapu
Život je krásny Bez práce nie sú koláče Slovensko je krásna krajina,Imzsx ni ovcwrc Fid tvcgi rmi wb ospcui Wpszirwos ni ovcwre ovenmre
Dobrý deň prajem Slovensko je krásna krajina Láska hory prenáša,Alyox abu moxgbj Pilsbkphl gb hovpkx hoxgfkx Ivphx elov mobkvtx
Príliš žlťučký kôň úpäl ďábelské ódy,Lnghes vhwqmgw gnt tlxh ouxahogc mzu
Dobrý deň prajem Príliš žlťučký kôň úpäl ďábelské ódy,Yjwmv yzs kmvezh Kmfgdr ugvplfv fms skwg ntwzgnfb lyt
Slovensko je krásna krajina,Buxenwbtx sn tahbwj tajsrwj
Všetko najlepšie k narodeninám,Cdlarv uhqslwdpl r uhyvklupuft
Ráno múdrejšie večera Všetko najlepšie k narodeninám,Lshi grxlydqcy pykylu Pqynei hudfyjqcy e hulixyhchsg
Kde bolo tam bolo Dobrý deň prajem,Exy vifi nug vifi Xivlu xyr jludyg
Ráno múdrejšie večera,Yfuv tekylqdpl clxlyh
V našej záhrade rastú krásne kvety,R jwsaf vudnwza nwopt gnuoja grapu
Bez práce nie sú koláče V našej záhrade rastú krásne kvety,Svq giptv ezv jo bfcphv M ernva qpyiruv irjko bipjev bmvkp
Všetko najlepšie k narodeninám Slovensko je krásna krajina,Nowlcg fsbdwhoaw c fsjgvwfafqe Kdgnwfkcg bw cjqkfs cjsbafs
Ráno múdrejšie večera Život je krásny,Krgh fqwkxcpbx oxjxkt Xbohm cx dkrlgr
V našej záhrade rastú krásne kvety Kde bolo tam bolo,I anjrw mluenqr enfgk xelfar xirgl Xqr obyb gnz obyb
Ráno múdrejšie večera,Lshi grxlydqcy pykylu
Život je krásny V našej záhrade rastú krásne kvety Príliš žlťučký kôň úpäl ďábelské ódy,Ptgze up vcjdyj G ylhpu kjsclop cldei vcjdyp vgpej Acvwth kwlfbvl vci iamw djmpwdvr boj
Ráno múdrejšie večera,Pwlm kvbpchugc tcocpy
Bez práce nie sú koláče Všetko najlepšie k narodeninám Život je krásny,Jmh xzgkm vqm af swtgym Dembsw virtmxeqm s vizwlmvqvgu Mqdwb rm szgavg
Všetko najlepšie k narodeninám Príliš žlťučký kôň úpäl ďábelské ódy Dobrý deň prajem,Xygvmq pclngrykg m pctqfgpkpao Rtmnky bncwsmc mtz zrdn uadgnumi sfa Fqdtc fgz rtclgo
Príliš žlťučký kôň úpäl ďábelské ódy,Tvopma dpeyuoe ovb btfp wcfipwok uhc
Ráno múdrejšie večera Láska hory prenáša Príliš žlťučký kôň úpäl ďábelské ódy,Nujk itznafsea ramanw Huogw dknu lnajusw Lnghes vhwqmgw gnt tlxh ouxahogc mzu
Život je krásny Ráno múdrejšie večera,Gkxqv lg mtaupa Tapq ozftglykg xgsgtc
Príliš žlťučký kôň úpäl ďábelské ódy Ráno múdrejšie večera Všetko najlepšie k narodeninám,Vxqroc frgawqg qxd dvhr yehkryqm wje Xetu sdjxkpcok bkwkxg Bckzqu tgprkvcok q tgxujktotes
V našej záhrade rastú krásne kvety Dobrý deň prajem,Q ivrze utcmvyz mvnos fmtniz fqzot Yjwmv yzs kmvezh
Príliš žlťučký kôň úpäl ďábelské ódy Bez práce nie sú koláče,Yaturf iujdztj tag gyku bhknubtp zmh Kni yahln wrn bg txuhzn
Dobrý deň prajem,Qboen qrk cenwrz
Bez práce nie sú koláče,Loj zbimo xso ch uyviao
Život je krásny Kde bolo tam bolo Dobrý deň prajem,Swjch xs yfmgbm Yrs pczc hoa pczc Rcpfo rsl dfoxsa
Život je krásny Dobrý deň prajem Ráno múdrejšie večera,Ptgze up vcjdyj Ozmcl opi aclupx Cjyz xiocpuhtp gpbpcl
Príliš žlťučký kôň úpäl ďábelské ódy,Hjcdao rdsmics cjp phtd kqtwdkcy ivq
Všetko najlepšie k narodeninám,Dembsw virtmxeqm s vizwlmvqvgu
Láska hory prenáša V našej záhrade rastú krásne kvety Príliš žlťučký kôň úpäl ďábelské ódy,Dqkcs zgjq hjwfqos N fsowb rqzjsvw jsklp cjqkfw cnwlq Hjcdao rdsmics cjp phtd kqtwdkcy ivq
Život je krásny Všetko najlepšie k narodeninám,Lpcva ql ryfzuf Cdlarv uhqslwdpl r uhyvklupuft
Kde bolo tam bolo Dobrý deň prajem Všetko najlepšie k narodeninám,Xqr obyb gnz obyb Qboen qrk cenwrz Ijrgxb anwyrcjvr x anebqravalz
Bez práce nie sú koláče Všetko najlepšie k narodeninám V našej záhrade rastú krásne kvety,Wzu kmtxz idz ns fjgtlz Qrzofj ivegzkrdz f ivmjyzidith Q ivrze utcmvyz mvnos fmtniz fqzot
Život je krásny Kde bolo tam bolo,Kobuz pk qxeyte Qjk huru zgs huru
Slovensko je krásna krajina Život je krásny Všetko najlepšie k narodeninám,Dwzgpydvz up vcjdyl vclutyl Ptgze up vcjdyj Ghpevz yluwpahtp v ylczopytyjx
Slovensko je krásna krajina Bez práce nie sú koláče Všetko najlepšie k narodeninám,Kdgnwfkcg bw cjqkfs cjsbafs Twr hjquw faw kp cgdqiw Nowlcg fsbdwhoaw c fsjgvwfafqe
Láska hory prenáša Bez práce nie sú koláče,Anhzp wdgn egtcnlp Qto egnrt cxt hm zdanft
Príliš žlťučký kôň úpäl ďábelské ódy Všetko najlepšie k narodeninám Bez práce nie sú koláče,Tvopma dpeyuoe ovb btfp wcfipwok uhc Zaixos renpitami o revshirmrcq Fid tvcgi rmi wb ospcui
Príliš žlťučký kôň úpäl ďábelské ódy Slovensko je krásna krajina,Egzaxl oapjfzp zgm meqa hnqtahzv fsn Hadktchzd yt zgnhcp zgpyxcp
Ráno múdrejšie večera,Lshi grxlydqcy pykylu
Kde bolo tam bolo Život je krásny Ráno múdrejšie večera,Ibc zmjm ryk zmjm Cgtmr hc ipwqlw Pwlm kvbpchugc tcocpy
Život je krásny,Dhuns id jqxrmx
V našej záhrade rastú krásne kvety Ráno múdrejšie večera,T lyuch xwfpybc pyqrv ipwqlc itcrw Pwlm kvbpchugc tcocpy
Život je krásny Bez práce nie sú koláče,Osfyd to ubicxi Loj zbimo xso ch uyviao
Život je krásny Kde bolo tam bolo,Aerkp fa gnuoju Gza xkhk pwi xkhk
Láska hory prenáša,Obvnd krub suhqbzd
Život je krásny Príliš žlťučký kôň úpäl ďábelské ódy,Zdqjo ez fmtnit Kmfgdr ugvplfv fms skwg ntwzgnfb lyt
Bez práce nie sú koláče Všetko najlepšie k narodeninám,Ady oqxbd mhd rw jnkxpd Uvdsjn mzikdovhd j mzqncdmhmxl
Dobrý deň prajem,Yjwmv yzs kmvezh
Dobrý deň prajem,Ozmcl opi aclupx
Ráno múdrejšie večera Bez práce nie sú koláče,Cjyz xiocpuhtp gpbpcl Mpk acjnp ytp di vzwjbp
Ráno múdrejšie večera Láska hory prenáša,Nujk itznafsea ramanw Huogw dknu lnajusw
Ráno múdrejšie večera Príliš žlťučký kôň úpäl ďábelské ódy,Qxmn lwcqdivhd udpdqz Oqjkhv ykztpjz jqw woak rxadkrjf pcx
Ráno múdrejšie večera,Qxmn lwcqdivhd udpdqz
Príliš žlťučký kôň úpäl ďábelské ódy,Lnghes vhwqmgw gnt tlxh ouxahogc mzu
V našej záhrade rastú krásne kvety,W obxfk azisbef sbtuy lsztof lwfuz
V našej záhrade rastú krásne kvety Dobrý deň prajem Život je krásny,L dqmuz poxhqtu hqijn ahoidu alujo Terhq tun fhqzuc Uylej zu ahoido
Kde bolo tam bolo Dobrý deň prajem,Hab ylil qxj ylil Alyox abu moxgbj
Láska hory prenáša Bez práce nie sú koláče,Kxrjz gnqx oqdmxvz Ady oqxbd mhd rw jnkxpd
Láska hory prenáša,Pcwoe lsvc tvircae
Život je krásny Slovensko je krásna krajina,Aerkp fa gnuoju Ohkrajogk fa gnuojw gnwfejw
V našej záhrade rastú krásne kvety Dobrý deň prajem Láska hory prenáša,U mzvdi yxgqzcd qzrsw jqxrmd judsx Cnaqz cdw oqzidl Kxrjz gnqx oqdmxvz
Ráno múdrejšie večera,Lshi grxlydqcy pykylu
Život je krásny V našej záhrade rastú krásne kvety,Kobuz pk qxeyte B tgckp fenxgjk xgyzd qxeytk qbkze
Dobrý deň prajem Všetko najlepšie k narodeninám,Qboen qrk cenwrz Ijrgxb anwyrcjvr x anebqravalz
Láska hory prenáša Život je krásny,Boiaq xeho fhudomq Uylej zu ahoido
Príliš žlťučký kôň úpäl ďábelské ódy Bez práce nie sú koláče,Rtmnky bncwsmc mtz zrdn uadgnumi sfa Dgb rtaeg pkg uz mqnasg
Príliš žlťučký kôň úpäl ďábelské ódy V našej záhrade rastú krásne kvety,Qslmjx ambvrlb lsy yqcm tzcfmtlh rez W obxfk azisbef sbtuy lsztof lwfuz
Príliš žlťučký kôň úpäl ďábelské ódy Slovensko je krásna krajina Dobrý deň prajem,Tvopma dpeyuoe ovb btfp wcfipwok uhc Wpszirwos ni ovcwre ovenmre Hsfve hib tveniq
V našej záhrade rastú krásne kvety Slovensko je krásna krajina Kde bolo tam bolo,F xkgot jirbkno bkcdh ubicxo ufodi Cvyfoxcuy to ubicxk ubktsxk Uno lyvy dkw lyvy
Ráno múdrejšie večera,Fmbc alrfsxkws jsesfo
Kde bolo tam bolo,Zst qdad ipb qdad
Bez práce nie sú koláče Dobrý deň prajem,Psn dfmqs bws gl yczmes Rcpfo rsl dfoxsa
Dobrý deň prajem,Pandm pqj bdmvqy
V našej záhrade rastú krásne kvety Všetko najlepšie k narodeninám Láska hory prenáša,B tgckp fenxgjk xgyzd qxeytk qbkze Bckzqu tgprkvcok q tgxujktotes Reyqg nuxe vxktecg
Kde bolo tam bolo Život je krásny Ráno múdrejšie večera,Buv sfcf krd sfcf Vzmfk av bipjep Ipef douivanzv mvhvir
Kde bolo tam bolo Bez práce nie sú koláče V našej záhrade rastú krásne kvety,Mfg dqnq vco dqnq Dgb rtaeg pkg uz mqnasg X pcygl bajtcfg tcuvz mtaupg mxgva
Kde bolo tam bolo,Dwx uheh mtf uheh
Láska hory prenáša Všetko najlepšie k narodeninám,Mztlb ipsz qsfozxb Wxfulp obkmfqxjf l obspefojozn
Všetko najlepšie k narodeninám,Zaixos renpitami o revshirmrcq
Láska hory prenáša Kde bolo tam bolo,Uhbtj qxah yanwhfj Tmn kxux cjv kxux
Kde bolo tam bolo Bez práce nie sú koláče,Yrs pczc hoa pczc Psn dfmqs bws gl yczmes
Dobrý deň prajem,Kviyh kle wyhqlt
Slovensko je krásna krajina Láska hory prenáša,Xqtajsxpt oj pwdxsf pwfonsf Qdxpf mtwd uwjsdbf
Bez práce nie sú koláče Ráno múdrejšie večera,Orm celpr avr fk xbyldr Elab zkqerwjvr irdren
Dobrý deň prajem Ráno múdrejšie večera,Ozmcl opi aclupx Cjyz xiocpuhtp gpbpcl
Všetko najlepšie k narodeninám Kde bolo tam bolo Ráno múdrejšie večera,Cdlarv uhqslwdpl r uhyvklupuft Rkl ivsv aht ivsv Yfuv tekylqdpl clxlyh
Láska hory prenáša Príliš žlťučký kôň úpäl ďábelské ódy Slovensko je krásna krajina,Boiaq xeho fhudomq Fhabym pbqkgaq ahn nfrb iorubiaw gto Ibeludiae zu ahoidq ahqzydq
Príliš žlťučký kôň úpäl ďábelské ódy Kde bolo tam bolo,Gibczn qcrlhbr bio ogsc jpsvcjbx hup Buv sfcf krd sfcf
Dobrý deň prajem Kde bolo tam bolo Slovensko je krásna krajina,Yjwmv yzs kmvezh Fyz wjgj ovh wjgj Ngjqzinfj ez fmtniv fmvediv
Slovensko je krásna krajina Dobrý deň prajem Kde bolo tam bolo,Ibeludiae zu ahoidq ahqzydq Terhq tun fhqzuc Atu rebe jqc rebe
Príliš žlťučký kôň úpäl ďábelské ódy Láska hory prenáša Slovensko je krásna krajina,Cexyvj mynhdxn xek kcoy floryfxt dql Ylfxn ubel ceraljn Fybirafxb wr xelfan xenwvan
Život je krásny,Fjwpu kf lsztoz
Príliš žlťučký kôň úpäl ďábelské ódy,Sunolz codxtnd nua aseo vbehovnj tgb
V našej záhrade rastú krásne kvety Dobrý deň prajem Slovensko je krásna krajina,D viemr hgpzilm ziabf szgavm sdmbg Lwjzi lmf xzirmu Atwdmvasw rm szgavi szirqvi
Dobrý deň prajem Slovensko je krásna krajina Život je krásny,Juhxg jkd vxgpks Yrubktyqu pk qxeytg qxgpotg Kobuz pk qxeyte
Slovensko je krásna krajina Dobrý deň prajem,Xqtajsxpt oj pwdxsf pwfonsf Itgwf ijc uwfojr
Bez práce nie sú koláče Príliš žlťučký kôň úpäl ďábelské ódy,Kni yahln wrn bg txuhzn Yaturf iujdztj tag gyku bhknubtp zmh
Slovensko je krásna krajina,Qjmtclqim hc ipwqly ipyhgly
Kde bolo tam bolo,Rkl ivsv aht ivsv
Láska hory prenáša,Mztlb ipsz qsfozxb
Život je krásny Príliš žlťučký kôň úpäl ďábelské ódy Bez práce nie sú koláče,Imzsx ni ovcwrc Tvopma dpeyuoe ovb btfp wcfipwok uhc Fid tvcgi rmi wb ospcui
Ráno múdrejšie večera,Ovkl juaobgtfb sbnbox
Príliš žlťučký kôň úpäl ďábelské ódy Život je krásny Kde bolo tam bolo,Jlefcq tfuokeu elr rjvf msvyfmea kxs Ycpin dy elsmhs Exy vifi nug vifi
V našej záhrade rastú krásne kvety,D viemr hgpzilm ziabf szgavm sdmbg
V našej záhrade rastú krásne kvety,O gtpxc sraktwx ktlmq dkrlgx doxmr
Všetko najlepšie k narodeninám Slovensko je krásna krajina,Cdlarv uhqslwdpl r uhyvklupuft Zsvcluzrv ql ryfzuh ryhqpuh
Všetko najlepšie k narodeninám Slovensko je krásna krajina,Tucrim lyhjcnugc i lypmbclglwk Qjmtclqim hc ipwqly ipyhgly
Láska hory prenáša Život je krásny,Obvnd krub suhqbzd Hlyrw mh nubvqb
Príliš žlťučký kôň úpäl ďábelské ódy,Kmfgdr ugvplfv fms skwg ntwzgnfb lyt
Kde bolo tam bolo Príliš žlťučký kôň úpäl ďábelské ódy Bez práce nie sú koláče,Fyz wjgj ovh wjgj Kmfgdr ugvplfv fms skwg ntwzgnfb lyt Wzu kmtxz idz ns fjgtlz
Ráno múdrejšie večera,Lshi grxlydqcy pykylu
Bez práce nie sú koláče Slovensko je krásna krajina Príliš žlťučký kôň úpäl ďábelské ódy,Ilg wyfjl upl ze rvsfxl Zsvcluzrv ql ryfzuh ryhqpuh Wyrspd gshbxrh rye ewis zfilszrn xkf
Láska hory prenáša Ráno múdrejšie večera,Uhbtj qxah yanwhfj Ahwx vgmansfrn enznaj
V našej záhrade rastú krásne kvety,G ylhpu kjsclop cldei vcjdyp vgpej
Láska hory prenáša,Naumc jqta rtgpayc
Kde bolo tam bolo Príliš žlťučký kôň úpäl ďábelské ódy Ráno múdrejšie večera,Yrs pczc hoa pczc Dfyzwk nzoieyo yfl ldpz gmpszgyu erm Fmbc alrfsxkws jsesfo
Láska hory prenáša V našej záhrade rastú krásne kvety Slovensko je krásna krajina,Gtnfv cjmt kmzitrv Q ivrze utcmvyz mvnos fmtniz fqzot Ngjqzinfj ez fmtniv fmvediv
Život je krásny,Aerkp fa gnuoju
Dobrý deň prajem Kde bolo tam bolo V našej záhrade rastú krásne kvety,Alyox abu moxgbj Hab ylil qxj ylil S kxtbg wveoxab oxpqu hovpkb hsbqv
Ráno múdrejšie večera Dobrý deň prajem Život je krásny,Qxmn lwcqdivhd udpdqz Cnaqz cdw oqzidl Dhuns id jqxrmx
Život je krásny,Mqdwb rm szgavg
Kde bolo tam bolo Dobrý deň prajem Príliš žlťučký kôň úpäl ďábelské ódy,Dwx uheh mtf uheh Whukt wxq iktcxf Ikdebp setnjdt dkq qiue lruxeldz jwr
Príliš žlťučký kôň úpäl ďábelské ódy,Npijgu xjysoiy ipv vnzj qwzcjqie obw
Dobrý deň prajem Ráno múdrejšie večera,Kviyh kle wyhqlt Yfuv tekylqdpl clxlyh
Príliš žlťučký kôň úpäl ďábelské ódy,Dfyzwk nzoieyo yfl ldpz gmpszgyu erm
Príliš žlťučký kôň úpäl ďábelské ódy Ráno múdrejšie večera,Kmfgdr ugvplfv fms skwg ntwzgnfb lyt Mtij hsymzerdz qzlzmv
Bez práce nie sú koláče Všetko najlepšie k narodeninám,Twr hjquw faw kp cgdqiw Nowlcg fsbdwhoaw c fsjgvwfafqe
Príliš žlťučký kôň úpäl ďábelské ódy Slovensko je krásna krajina,Gibczn qcrlhbr bio ogsc jpsvcjbx hup Jcfmvejbf av bipjer birazer
Láska hory prenáša Všetko najlepšie k narodeninám V našej záhrade rastú krásne kvety,Sfzrh ovyf wylufdh Cdlarv uhqslwdpl r uhyvklupuft C uhdlq gfoyhkl yhzae ryfzul rclaf
Život je krásny Všetko najlepšie k narodeninám,Cgtmr hc ipwqlw Tucrim lyhjcnugc i lypmbclglwk
Ráno múdrejšie večera Slovensko je krásna krajina Všetko najlepšie k narodeninám,Nujk itznafsea ramanw Ohkrajogk fa gnuojw gnwfejw Rsapgk jwfhalsea g jwnkzajejui
Dobrý deň prajem Všetko najlepšie k narodeninám Život je krásny,Fqdtc fgz rtclgo Xygvmq pclngrykg m pctqfgpkpao Gkxqv lg mtaupa
Dobrý deň prajem Príliš žlťučký kôň úpäl ďábelské ódy Kde bolo tam bolo,Zkxnw zat lnwfai Lnghes vhwqmgw gnt tlxh ouxahogc mzu Gza xkhk pwi xkhk
V našej záhrade rastú krásne kvety,T lyuch xwfpybc pyqrv ipwqlc itcrw
Láska hory prenáša Príliš žlťučký kôň úpäl ďábelské ódy V našej záhrade rastú krásne kvety,Ylfxn ubel ceraljn Cexyvj mynhdxn xek kcoy floryfxt dql I anjrw mluenqr enfgk xelfar xirgl
Kde bolo tam bolo Život je krásny,Rkl ivsv aht ivsv Lpcva ql ryfzuf
Kde bolo tam bolo Príliš žlťučký kôň úpäl ďábelské ódy Ráno múdrejšie večera,Dwx uheh mtf uheh Ikdebp setnjdt dkq qiue lruxeldz jwr Krgh fqwkxcpbx oxjxkt
Kde bolo tam bolo Láska hory prenáša,Wpq naxa fmy naxa Xkewm tadk bdqzkim
Láska hory prenáša Slovensko je krásna krajina,Sfzrh ovyf wylufdh Zsvcluzrv ql ryfzuh ryhqpuh
Slovensko je krásna krajina,Exahqzewa vq wdkezm wdmvuzm
Ráno múdrejšie večera Dobrý deň prajem Bez práce nie sú koláče,Ovkl juaobgtfb sbnbox Alyox abu moxgbj Ybw movzb kfb pu hlivnb
V našej záhrade rastú krásne kvety,M ernva qpyiruv irjko bipjev bmvkp
Láska hory prenáša Dobrý deň prajem Život je krásny,Vicuk rybi zboxigk Nylbk noh zbktow Osfyd to ubicxi
V našej záhrade rastú krásne kvety Dobrý deň prajem Príliš žlťučký kôň úpäl ďábelské ódy,K cplty onwgpst gphim zgnhct zktin Sdqgp stm egpytb Egzaxl oapjfzp zgm meqa hnqtahzv fsn
Príliš žlťučký kôň úpäl ďábelské ódy Bez práce nie sú koláče Slovensko je krásna krajina,Gibczn qcrlhbr bio ogsc jpsvcjbx hup Svq giptv ezv jo bfcphv Jcfmvejbf av bipjer birazer
Bez práce nie sú koláče Život je krásny,Wzu kmtxz idz ns fjgtlz Zdqjo ez fmtnit
Príliš žlťučký kôň úpäl ďábelské ódy,Mohift wixrnhx hou umyi pvybiphd nav
Kde bolo tam bolo,Yrs pczc hoa pczc
Ráno múdrejšie večera V našej záhrade rastú krásne kvety,Ubqr paguhmzlh yhthud Y qdzhm cbkudgh udvwa nubvqh nyhwb
